接口编号,方法,旧路径,源码位置,阶段0模块,新模块,新控制器,新服务,新仓储,迁移批次,高风险类别,前端调用方,兼容结论
API-0012,GET,/api/registrations,backend/server.js:4069,客户报备,报备,报备控制器,报备服务,报备仓储、报备历史仓储,批次三,信任前端身份、无分页、内存全量扫描,"frontend/admin-app.js:1153
frontend/admin-app.js:11693
frontend/admin-app.js:244
frontend/api-client.js:141
frontend/api-client.js:182
frontend/api.js:64
frontend/app.js:709
frontend/partner-app.js:1124
frontend/partner-app.js:1357
frontend/partner-app.js:1816
frontend/partner-app.js:1880
frontend/partner-app.js:8889",保留 GET /api/registrations 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0013,PUT,/api/registrations/:id/status,backend/server.js:4145,客户报备,报备,报备控制器,报备服务,报备仓储、报备历史仓储,批次三,信任前端身份、内存全量扫描,待确认,保留 PUT /api/registrations/:id/status 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0014,PUT,/api/registrations/:id,backend/server.js:4210,客户报备,报备,报备控制器,报备服务,报备仓储、报备历史仓储,批次三,信任前端身份、内存全量扫描,待确认,保留 PUT /api/registrations/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0015,DELETE,/api/registrations/:id,backend/server.js:4251,客户报备,报备,报备控制器,报备服务,报备仓储、报备历史仓储,批次三,内存全量扫描,待确认,保留 DELETE /api/registrations/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0016,POST,/api/opportunities,backend/server.js:4268,商机管理,商机,商机控制器,商机服务、商机跟进服务,商机仓储、商机事件仓储,批次四,信任前端身份、内存全量扫描,"frontend/admin-app.js:1162
frontend/admin-app.js:249
frontend/api-client.js:203
frontend/api-client.js:237
frontend/api.js:54
frontend/app.js:712
frontend/partner-app.js:1133",保留 POST /api/opportunities 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0017,GET,/api/opportunities,backend/server.js:4379,商机管理,商机,商机控制器,商机服务、商机跟进服务,商机仓储、商机事件仓储,批次四,信任前端身份、无分页、内存全量扫描,"frontend/admin-app.js:1162
frontend/admin-app.js:249
frontend/api-client.js:203
frontend/api-client.js:237
frontend/api.js:54
frontend/app.js:712
frontend/partner-app.js:1133",保留 GET /api/opportunities 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0018,PUT,/api/opportunities/:id,backend/server.js:4473,商机管理,商机,商机控制器,商机服务、商机跟进服务,商机仓储、商机事件仓储,批次四,信任前端身份、内存全量扫描,待确认,保留 PUT /api/opportunities/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0019,GET,/api/audit-logs,backend/server.js:4780,审计日志,审计,审计控制器,审计查询服务,审计仓储,贯穿所有批次,暂无显性高风险,"frontend/admin-app.js:15224
frontend/admin-app.js:778",保留 GET /api/audit-logs 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0020,GET,/api/audit-logs/:id,backend/server.js:4803,审计日志,审计,审计控制器,审计查询服务,审计仓储,贯穿所有批次,无分页,待确认,保留 GET /api/audit-logs/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0021,GET,/api/workload/classifications,backend/server.js:4815,工作量配置,产品,工作量配置控制器,工作量配置服务、工作量计算服务,工作量规则仓储、产品仓储,批次一,暂无显性高风险,待确认,保留 GET /api/workload/classifications 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0022,GET,/api/workload/delivery-rules,backend/server.js:4821,工作量配置,产品,工作量配置控制器,工作量配置服务、工作量计算服务,工作量规则仓储、产品仓储,批次一,暂无显性高风险,frontend/api-client.js:596,保留 GET /api/workload/delivery-rules 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0023,PUT,/api/workload/delivery-rules/:id,backend/server.js:4831,工作量配置,产品,工作量配置控制器,工作量配置服务、工作量计算服务,工作量规则仓储、产品仓储,批次一,内存全量扫描,待确认,保留 PUT /api/workload/delivery-rules/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0024,GET,/api/workload/mappings,backend/server.js:4889,工作量配置,产品,工作量配置控制器,工作量配置服务、工作量计算服务,工作量规则仓储、产品仓储,批次一,内存全量扫描,frontend/api-client.js:567,保留 GET /api/workload/mappings 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0025,PUT,/api/workload/mappings/:featureId,backend/server.js:4927,工作量配置,产品,工作量配置控制器,工作量配置服务、工作量计算服务,工作量规则仓储、产品仓储,批次一,内存全量扫描,待确认,保留 PUT /api/workload/mappings/:featureId 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0026,GET,/api/workload/rules,backend/server.js:4987,工作量配置,产品,工作量配置控制器,工作量配置服务、工作量计算服务,工作量规则仓储、产品仓储,批次一,内存全量扫描,"frontend/api-client.js:588
frontend/api-client.js:615",保留 GET /api/workload/rules 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0027,POST,/api/workload/rules,backend/server.js:4998,工作量配置,产品,工作量配置控制器,工作量配置服务、工作量计算服务,工作量规则仓储、产品仓储,批次一,暂无显性高风险,"frontend/api-client.js:588
frontend/api-client.js:615",保留 POST /api/workload/rules 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0028,PUT,/api/workload/rules/:id,backend/server.js:5027,工作量配置,产品,工作量配置控制器,工作量配置服务、工作量计算服务,工作量规则仓储、产品仓储,批次一,内存全量扫描,待确认,保留 PUT /api/workload/rules/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0029,DELETE,/api/workload/rules/:id,backend/server.js:5056,工作量配置,产品,工作量配置控制器,工作量配置服务、工作量计算服务,工作量规则仓储、产品仓储,批次一,内存全量扫描,待确认,保留 DELETE /api/workload/rules/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0030,POST,/api/quotes/workload-preview,backend/server.js:5075,报价管理,报价,报价控制器,报价服务、报价计算服务、工作量计算服务,报价仓储、报价快照仓储,批次五,暂无显性高风险,frontend/api-client.js:544,保留 POST /api/quotes/workload-preview 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0031,POST,/api/ipg/quote-preview,backend/server.js:5080,报价管理,报价,报价控制器,报价计算服务、工作量计算服务,产品仓储、工作量规则仓储、报价快照仓储,批次五,内存全量扫描,frontend/api-client.js:554,保留 POST /api/ipg/quote-preview 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0032,POST,/api/quotes,backend/server.js:5107,报价管理,报价,报价控制器,报价服务、报价计算服务、工作量计算服务,报价仓储、报价快照仓储,批次五,信任前端身份、内存全量扫描,"frontend/admin-app.js:1171
frontend/api-client.js:277
frontend/api-client.js:308
frontend/api.js:72
frontend/app.js:710
frontend/partner-app.js:1142",保留 POST /api/quotes 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0033,GET,/api/quotes,backend/server.js:5237,报价管理,报价,报价控制器,报价服务、报价计算服务、工作量计算服务,报价仓储、报价快照仓储,批次五,信任前端身份、无分页、内存全量扫描,"frontend/admin-app.js:1171
frontend/api-client.js:277
frontend/api-client.js:308
frontend/api.js:72
frontend/app.js:710
frontend/partner-app.js:1142",保留 GET /api/quotes 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0034,DELETE,/api/quotes/:id,backend/server.js:5313,报价管理,报价,报价控制器,报价服务、报价计算服务、工作量计算服务,报价仓储、报价快照仓储,批次五,内存全量扫描,待确认,保留 DELETE /api/quotes/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0035,POST,/api/orders,backend/server.js:5334,订单管理,订单,订单控制器,订单服务、订单一级确认服务、订单调价服务,订单仓储、订单事件仓储,批次五,信任前端身份、内存全量扫描,"frontend/admin-app.js:1180
frontend/api-client.js:330
frontend/api-client.js:361
frontend/api.js:80
frontend/app.js:711
frontend/partner-app.js:1151",保留 POST /api/orders 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0036,GET,/api/orders,backend/server.js:5497,订单管理,订单,订单控制器,订单服务、订单一级确认服务、订单调价服务,订单仓储、订单事件仓储,批次五,信任前端身份、无分页、内存全量扫描,"frontend/admin-app.js:1180
frontend/api-client.js:330
frontend/api-client.js:361
frontend/api.js:80
frontend/app.js:711
frontend/partner-app.js:1151",保留 GET /api/orders 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0037,DELETE,/api/orders/:id,backend/server.js:5615,订单管理,订单,订单控制器,订单服务、订单一级确认服务、订单调价服务,订单仓储、订单事件仓储,批次五,内存全量扫描,待确认,保留 DELETE /api/orders/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0038,PUT,/api/quotes/:id,backend/server.js:5634,报价管理,报价,报价控制器,报价服务、报价计算服务、工作量计算服务,报价仓储、报价快照仓储,批次五,内存全量扫描,待确认,保留 PUT /api/quotes/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0039,PUT,/api/quotes/:id/status,backend/server.js:5679,报价管理,报价,报价控制器,报价服务、报价计算服务、工作量计算服务,报价仓储、报价快照仓储,批次五,信任前端身份、内存全量扫描,待确认,保留 PUT /api/quotes/:id/status 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0040,PUT,/api/orders/:id/status,backend/server.js:5755,订单管理,订单,订单控制器,订单服务、订单一级确认服务、订单调价服务,订单仓储、订单事件仓储,批次五,信任前端身份、内存全量扫描,待确认,保留 PUT /api/orders/:id/status 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0041,PUT,/api/orders/:id/price-adjust,backend/server.js:5885,订单管理,订单,订单控制器,订单调价服务,订单仓储、订单事件仓储,批次五,信任前端身份、内存全量扫描,待确认,保留 PUT /api/orders/:id/price-adjust 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0042,GET,/api/users,backend/server.js:6025,账号管理,账号,账号控制器,账号服务,账号仓储、会话仓储,批次二,信任前端身份、无分页、内存全量扫描,"frontend/admin-app.js:10097
frontend/admin-app.js:11247
frontend/admin-app.js:15842
frontend/admin-app.js:259
frontend/api-client.js:472
frontend/api-client.js:479",保留 GET /api/users 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0043,PUT,/api/users/:id,backend/server.js:6049,账号管理,账号,账号控制器,账号服务,账号仓储、会话仓储,批次二,信任前端身份、内存全量扫描,待确认,保留 PUT /api/users/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0044,DELETE,/api/users/:id,backend/server.js:6098,账号管理,账号,账号控制器,账号服务,账号仓储、会话仓储,批次二,内存全量扫描,待确认,保留 DELETE /api/users/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0045,PUT,/api/users/:id/password,backend/server.js:6140,账号管理,账号,账号控制器,账号凭证服务,账号仓储、会话仓储,批次二,信任前端身份,待确认,保留 PUT /api/users/:id/password 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0046,POST,/api/users/sync-status,backend/server.js:6162,账号管理,账号,账号控制器,账号状态服务,账号仓储、会话仓储,批次二,信任前端身份、内存全量扫描、敏感字段返回,待确认,保留 POST /api/users/sync-status 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0047,GET,/api/mobile/v2/me,backend/server.js:7878,移动端二期,移动端,移动端二期适配控制器,移动端适配服务,移动端草稿仓储、移动端会话仓储,批次七,暂无显性高风险,frontend/mobile-v2-api.js:229,保留 GET /api/mobile/v2/me 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0048,GET,/api/mobile/v2/feature-flags,backend/server.js:7885,移动端二期,移动端,移动端二期适配控制器,移动端适配服务,移动端草稿仓储、移动端会话仓储,批次七,暂无显性高风险,待确认,保留 GET /api/mobile/v2/feature-flags 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0049,GET,/api/mobile/v2/dashboard,backend/server.js:7891,移动端二期,移动端,移动端二期适配控制器,移动端适配服务,移动端草稿仓储、移动端会话仓储,批次七,暂无显性高风险,"frontend/mobile-v2-app.js:79
frontend/mobile-v2-app.js:89
frontend/mobile-v2-app.js:91",保留 GET /api/mobile/v2/dashboard 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0050,GET,/api/mobile/v2/notifications,backend/server.js:7898,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用通知服务）,通知仓储,批次七,暂无显性高风险,"frontend/mobile-v2-app.js:85
frontend/mobile-v2-app.js:98",保留 GET /api/mobile/v2/notifications 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0051,POST,/api/mobile/v2/registration-drafts,backend/server.js:7912,移动端二期,移动端,移动端二期适配控制器,移动端适配服务,移动端草稿仓储、移动端会话仓储,批次七,内存全量扫描,"frontend/mobile-v2-api.js:13
frontend/mobile-v2-app.js:60",保留 POST /api/mobile/v2/registration-drafts 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0052,POST,/api/mobile/v2/registrations/check-duplicate,backend/server.js:7949,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,暂无显性高风险,待确认,保留 POST /api/mobile/v2/registrations/check-duplicate 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0053,POST,/api/mobile/v2/registrations,backend/server.js:7972,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-v2-api.js:14
frontend/mobile-v2-app.js:61
frontend/mobile-v2-app.js:80
frontend/mobile-v2-app.js:92",保留 POST /api/mobile/v2/registrations 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0054,PUT,/api/mobile/v2/registrations/:id/review,backend/server.js:8034,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-v2-api.js:15
frontend/mobile-v2-app.js:62",保留 PUT /api/mobile/v2/registrations/:id/review 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0055,POST,/api/mobile/v2/registrations/:id/copy,backend/server.js:8097,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,内存全量扫描,待确认,保留 POST /api/mobile/v2/registrations/:id/copy 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0056,GET,/api/mobile/v2/registrations/:id/events,backend/server.js:8123,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,无分页、内存全量扫描,待确认,保留 GET /api/mobile/v2/registrations/:id/events 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0057,GET,/api/mobile/v2/registrations,backend/server.js:8137,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,无分页,"frontend/mobile-v2-api.js:14
frontend/mobile-v2-app.js:61
frontend/mobile-v2-app.js:80
frontend/mobile-v2-app.js:92",保留 GET /api/mobile/v2/registrations 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0058,GET,/api/mobile/v2/registrations/:id,backend/server.js:8138,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报备服务）,移动端草稿仓储、报备仓储,批次七,无分页,待确认,保留 GET /api/mobile/v2/registrations/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0059,GET,/api/mobile/v2/opportunities,backend/server.js:8139,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,无分页,"frontend/mobile-v2-api.js:16
frontend/mobile-v2-app.js:63
frontend/mobile-v2-app.js:81
frontend/mobile-v2-app.js:93",保留 GET /api/mobile/v2/opportunities 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0060,GET,/api/mobile/v2/opportunities/:id,backend/server.js:8140,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,无分页,"frontend/mobile-v2-api.js:17
frontend/mobile-v2-app.js:64",保留 GET /api/mobile/v2/opportunities/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0061,POST,/api/mobile/v2/opportunities,backend/server.js:8142,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-v2-api.js:16
frontend/mobile-v2-app.js:63
frontend/mobile-v2-app.js:81
frontend/mobile-v2-app.js:93",保留 POST /api/mobile/v2/opportunities 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0062,PUT,/api/mobile/v2/opportunities/:id,backend/server.js:8210,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-v2-api.js:17
frontend/mobile-v2-app.js:64",保留 PUT /api/mobile/v2/opportunities/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0063,PUT,/api/mobile/v2/opportunities/:id/stage,backend/server.js:8253,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,内存全量扫描,"frontend/mobile-v2-api.js:18
frontend/mobile-v2-app.js:65",保留 PUT /api/mobile/v2/opportunities/:id/stage 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0064,POST,/api/mobile/v2/opportunities/:id/follow-ups,backend/server.js:8296,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,内存全量扫描,"frontend/mobile-v2-api.js:19
frontend/mobile-v2-app.js:66",保留 POST /api/mobile/v2/opportunities/:id/follow-ups 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0065,GET,/api/mobile/v2/opportunities/:id/events,backend/server.js:8343,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用商机服务）,商机仓储、商机事件仓储,批次七,无分页、内存全量扫描,待确认,保留 GET /api/mobile/v2/opportunities/:id/events 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0066,GET,/api/mobile/v2/quotes,backend/server.js:8357,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,无分页,"frontend/mobile-v2-api.js:22
frontend/mobile-v2-app.js:69
frontend/mobile-v2-app.js:82
frontend/mobile-v2-app.js:94",保留 GET /api/mobile/v2/quotes 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0067,GET,/api/mobile/v2/quotes/:id,backend/server.js:8358,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,无分页,待确认,保留 GET /api/mobile/v2/quotes/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0068,GET,/api/mobile/v2/orders,backend/server.js:8359,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,无分页,"frontend/mobile-v2-app.js:83
frontend/mobile-v2-app.js:95",保留 GET /api/mobile/v2/orders 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0069,GET,/api/mobile/v2/orders/parent-options,backend/server.js:8360,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,信任前端身份、无分页、内存全量扫描,待确认,保留 GET /api/mobile/v2/orders/parent-options 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0070,GET,/api/mobile/v2/orders/:id,backend/server.js:8386,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,无分页,待确认,保留 GET /api/mobile/v2/orders/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0071,GET,/api/mobile/v2/quote-products,backend/server.js:8388,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,无分页,待确认,保留 GET /api/mobile/v2/quote-products 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0072,POST,/api/mobile/v2/quotes/preview,backend/server.js:8405,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,暂无显性高风险,"frontend/mobile-v2-api.js:20
frontend/mobile-v2-app.js:67",保留 POST /api/mobile/v2/quotes/preview 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0073,POST,/api/mobile/v2/quote-drafts,backend/server.js:8420,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,信任前端身份,"frontend/mobile-v2-api.js:21
frontend/mobile-v2-app.js:68",保留 POST /api/mobile/v2/quote-drafts 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0074,POST,/api/mobile/v2/quotes,backend/server.js:8447,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,内存全量扫描,"frontend/mobile-v2-api.js:22
frontend/mobile-v2-app.js:69
frontend/mobile-v2-app.js:82
frontend/mobile-v2-app.js:94",保留 POST /api/mobile/v2/quotes 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0075,PUT,/api/mobile/v2/quotes/:id/discount-review,backend/server.js:8476,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-v2-api.js:23
frontend/mobile-v2-app.js:70",保留 PUT /api/mobile/v2/quotes/:id/discount-review 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0076,GET,/api/mobile/v2/quotes/:id/discount-review,backend/server.js:8512,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,无分页、内存全量扫描,"frontend/mobile-v2-api.js:23
frontend/mobile-v2-app.js:70",保留 GET /api/mobile/v2/quotes/:id/discount-review 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0077,PUT,/api/mobile/v2/quotes/:id/confirm,backend/server.js:8522,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用报价服务）,报价仓储、报价快照仓储、移动端草稿仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-v2-api.js:24
frontend/mobile-v2-app.js:71",保留 PUT /api/mobile/v2/quotes/:id/confirm 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0078,POST,/api/mobile/v2/order-drafts,backend/server.js:8555,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,内存全量扫描,"frontend/mobile-v2-api.js:25
frontend/mobile-v2-app.js:72",保留 POST /api/mobile/v2/order-drafts 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0079,POST,/api/mobile/v2/orders/:id/submit,backend/server.js:8596,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-v2-api.js:26
frontend/mobile-v2-app.js:73",保留 POST /api/mobile/v2/orders/:id/submit 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0080,PUT,/api/mobile/v2/orders/:id/primary-review,backend/server.js:8648,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-v2-api.js:27
frontend/mobile-v2-app.js:74",保留 PUT /api/mobile/v2/orders/:id/primary-review 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0081,PUT,/api/mobile/v2/orders/:id/fulfillment,backend/server.js:8683,移动端二期,移动端,移动端二期适配控制器,移动端适配服务（调用订单服务）,订单仓储、订单事件仓储、移动端草稿仓储,批次七,信任前端身份、内存全量扫描,"frontend/mobile-v2-api.js:28
frontend/mobile-v2-app.js:75",保留 PUT /api/mobile/v2/orders/:id/fulfillment 旧路径，兼容层映射请求、响应和错误后调用新服务。
